record_id,pmid,doi,first_author,year,journal,disease,comparison,comparison_class,biofluid,marker_type,marker,cohort_stage,n_cases,n_controls,auc,auc_ci_low,auc_ci_high,sensitivity,specificity,method,eligible_primary_pool,exclusion_reason,note,verbatim_quote,source
E001,42389429,10.1515/jtim-2026-0038,Qin Q,2026,Journal of translational internal medicine,AD,AD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,let-7i-5p,training,73,53,0.835,,,,,RT-qPCR,yes,,CI truncated by the text-extraction pipeline; only the point estimate recorded.,"Among these, let-7i-5p demonstrated the highest diagnostic accuracy, with an AUC of 0.835 (95% CI:",PubMed Central open-access full text
E002,42389429,10.1515/jtim-2026-0038,Qin Q,2026,Journal of translational internal medicine,AD,AD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-92a-3p,unclear,,,0.778,,,,,RT-qPCR,no,cohort stage not resolvable from the sentence; sample sizes not attributable,,"Among them, miR-92a-3p (AUC = 0.778) and miR-1285-5p (AUC = 0.770) exhibited the highest discriminatory performance ().",PubMed Central open-access full text
E003,42389429,10.1515/jtim-2026-0038,Qin Q,2026,Journal of translational internal medicine,AD,AD vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-1285-5p,unclear,,,0.77,,,,,RT-qPCR,no,cohort stage not resolvable from the sentence; sample sizes not attributable,,"Among them, miR-92a-3p (AUC = 0.778) and miR-1285-5p (AUC = 0.770) exhibited the highest discriminatory performance ().",PubMed Central open-access full text
E004,38618193,10.2147/DNND.S444567,Duan X,2024,Degenerative neurological and neuromuscular disease,AD,AD vs non-demented controls,case_vs_healthy_control,serum_exosome,single_miRNA,miR-125b-1-3p,validation,71,71,0.765,,,0.821,0.677,RT-qPCR,yes,,,"The results for miR-125b-1-3p showed modest improvement in distinguishing the AD patients from the healthy controls (, AUC=0.765, sensitivity=82.1% and specificity=67.7%).",PubMed Central open-access full text
E005,38618193,10.2147/DNND.S444567,Duan X,2024,Degenerative neurological and neuromuscular disease,AD,AD vs non-demented controls,case_vs_healthy_control,serum_exosome,single_miRNA,miR-451a,validation,71,71,0.728,,,0.679,0.726,RT-qPCR,yes,,,"However, hsa-miR-451a had an AUC of 0.728 to differentiate the AD group from the ND group, with a sensitivity and specificity of 67.9% and 72.6%, respectively.",PubMed Central open-access full text
E006,33542630,10.2147/NDT.S290925,Zhang M,2021,Neuropsychiatric disease and treatment,AD,AD vs controls,case_vs_healthy_control,serum,single_miRNA,miR-128,single,117,,0.831,,,0.869,0.821,RT-qPCR,yes,,117 AD patients recruited; control-group size not stated in the retrieved full text.,"The area under the curve was 0.831, the sensitivity was 86.9%, and the specificity was 82.1%, as shown in.",PubMed Central open-access full text
E007,28137310,10.1186/s40478-017-0414-z,Hara N,2017,Acta neuropathologica communications,AD,AD vs controls,case_vs_healthy_control,serum,single_miRNA,miR-501-3p,single,27,18,0.82,,,0.53,1.0,RT-qPCR,yes,,,The receiver-operating characteristic curve of hsa-miR-501-3p showed 53% sensitivity and 100% specificity (area under the curve = 0.82;,PubMed Central open-access full text
E008,33129241,10.29252/ibj.25.1.62,Hojati Z,2020,Iranian biomedical journal,AD,AD vs healthy individuals,case_vs_healthy_control,whole_blood,single_miRNA,miR-661,single,18,18,0.75,,,,,microarray/bioinformatics,yes,,,"The calculations showed AUC = 75%, standard error = 0.08, andvalue = 0.01; thus, hsa-miR-661 possessed the potential to be as a biomarker",PubMed Central open-access full text
E009,34870106,10.3233/ADR-210311,Tan YJ,2021,Journal of Alzheimer's disease reports,AD,AD vs FTD and controls,differential_diagnosis,CSF_exosome,single_miRNA,miR-328-3p,single,28,8,0.702,0.534,0.87,,,RT-qPCR,no,"composite comparator (FTD + controls), not a clean case-vs-healthy-control contrast",,"Notably, lower miR-328-3p levels could differentiate AD from FTD and controls with an AUC of 0.702, 95% CI: 0.534-0.870",PubMed Central open-access full text
E010,42346280,10.3390/diseases14060187,Birsan S,2026,"Diseases (Basel, Switzerland)",mixed_neurodegenerative,neurodegenerative pathology vs healthy controls,case_vs_healthy_control,gastric_juice,single_miRNA,miR-106a-5p,single,22,16,0.701,,,,,RT-qPCR,no,"mixed neurodegenerative population, not AD- or PD-specific",,The ROC analysis demonstrated moderate diagnostic performance of gastric miR-106a-5p for distinguishing patients with neurological abnormalities from controls (AUC = 0.701).,PubMed Central open-access full text
