param_id,kind,axis,parameter,symbol,value_as_written,value_si,unit_si,unit_as_written,population,condition,n,method,species,pmid,doi,first_author,year,journal,verbatim_quote,source,note
K001,numeric,miR-29/BACE1/Abeta,Abeta42 fractional production rate,k_prod_Ab42,6.7,0.067,1/hour,%/hour,cognitively normal controls,control,12,"in vivo 13C6-leucine metabolic labelling, CSF sampling",human,21148344,10.1126/science.1197623,Mawuenyega KG,2010,Science,The average Abeta42 production rate did not differ between the control (6.7%/hr) and AD (6.6%/hr) groups (p=0.96),PubMed Central open-access full text (PMC3073454),"Human in vivo, not cell culture. Production is statistically indistinguishable between AD and control, so in this model the disease effect must enter through clearance, not synthesis. Percent per hour converted to a first-order rate constant by dividing by 100."
K002,numeric,miR-29/BACE1/Abeta,Abeta42 fractional production rate,k_prod_Ab42,6.6,0.066,1/hour,%/hour,symptomatic Alzheimer's disease,AD,12,"in vivo 13C6-leucine metabolic labelling, CSF sampling",human,21148344,10.1126/science.1197623,Mawuenyega KG,2010,Science,The average Abeta42 production rate did not differ between the control (6.7%/hr) and AD (6.6%/hr) groups (p=0.96),PubMed Central open-access full text (PMC3073454),p = 0.96 versus control. Percent per hour converted to a first-order rate constant by dividing by 100.
K003,numeric,miR-29/BACE1/Abeta,Abeta42 fractional clearance rate,k_clear_Ab42,7.6,0.076,1/hour,%/hour,cognitively normal controls,control,12,"in vivo 13C6-leucine metabolic labelling, CSF sampling",human,21148344,10.1126/science.1197623,Mawuenyega KG,2010,Science,"The average clearance rate of Abeta42 was slower for AD individuals compared with cognitively normal controls (5.3%/hr vs. 7.6%/hr, p=0.03)",PubMed Central open-access full text (PMC3073454),Percent per hour converted to a first-order rate constant by dividing by 100.
K004,numeric,miR-29/BACE1/Abeta,Abeta42 fractional clearance rate,k_clear_Ab42,5.3,0.053,1/hour,%/hour,symptomatic Alzheimer's disease,AD,12,"in vivo 13C6-leucine metabolic labelling, CSF sampling",human,21148344,10.1126/science.1197623,Mawuenyega KG,2010,Science,"The average clearance rate of Abeta42 was slower for AD individuals compared with cognitively normal controls (5.3%/hr vs. 7.6%/hr, p=0.03)",PubMed Central open-access full text (PMC3073454),A 30% clearance impairment. This is the single parameter that carries the AD phenotype in the human data. Percent per hour converted to a first-order rate constant by dividing by 100.
K005,numeric,miR-29/BACE1/Abeta,Abeta40 fractional clearance rate,k_clear_Ab40,7.0,0.07,1/hour,%/hour,cognitively normal controls,control,12,"in vivo 13C6-leucine metabolic labelling, CSF sampling",human,21148344,10.1126/science.1197623,Mawuenyega KG,2010,Science,as was the average clearance rate of Abeta40 (5.2%/hr for AD individuals vs. 7.0%/hr for controls; p=0.01),PubMed Central open-access full text (PMC3073454),Percent per hour converted to a first-order rate constant by dividing by 100.
K006,numeric,miR-29/BACE1/Abeta,Abeta40 fractional clearance rate,k_clear_Ab40,5.2,0.052000000000000005,1/hour,%/hour,symptomatic Alzheimer's disease,AD,12,"in vivo 13C6-leucine metabolic labelling, CSF sampling",human,21148344,10.1126/science.1197623,Mawuenyega KG,2010,Science,as was the average clearance rate of Abeta40 (5.2%/hr for AD individuals vs. 7.0%/hr for controls; p=0.01),PubMed Central open-access full text (PMC3073454),Percent per hour converted to a first-order rate constant by dividing by 100.
K007,numeric,miR-7/SNCA/alpha-synuclein,fibril elongation rate constant by monomer addition,k_plus,2.2 × 10^3,2200,M^-1 s^-1,M^-1·s^-1,"wild-type alpha-synuclein, seeded aggregation","pH 7.4 (PBS), 37 C, quiescent",,"ThT fluorescence, seeded aggregation + seed length distribution","human (recombinant protein, in vitro)",24817693,10.1073/pnas.1315346111,Buell AK,2014,Proceedings of the National Academy of Sciences,"Interestingly, the global fit in Fig. 4 yields a lower elongation rate constant k+ (~4 × 10^2 M^-1·s^-1) compared with that from the fit in Fig. 2C (2.2 × 10^3 M^-1·s^-1; see SI Appendix, sections 8 and 11 for details on the fits), even though the experiments have been carried out under very similar solution conditions.","Scite indexed full text (open access, bronze)",Primary determination. Superscripts were lost by the PDF text extractor and are restored here (the source prints '2 x 10 3 M -1 s -1'); no digit was changed. The authors themselves flag a five-fold discrepancy against K008 under near-identical conditions; both are recorded so the model can be run across that range rather than pretending to one value.
K008,numeric,miR-7/SNCA/alpha-synuclein,fibril elongation rate constant by monomer addition,k_plus,392,392,M^-1 s^-1,M^-1·s^-1,"wild-type alpha-synuclein, very low seed concentration","pH 7.4 (PBS), 45 C, quiescent",,"global fit of ThT time courses, two free parameters (k+ and m_1/2)","human (recombinant protein, in vitro)",24817693,10.1073/pnas.1315346111,Buell AK,2014,Proceedings of the National Academy of Sciences,The fit yields k+ = 392 M^-1·s^-1 and m 1/2 = 49.8 μM.,"Scite indexed full text (open access, bronze)",Lower bound of the reported range. Superscripts were lost by the PDF text extractor and are restored here (the source prints '2 x 10 3 M -1 s -1'); no digit was changed.
K009,numeric,miR-7/SNCA/alpha-synuclein,monomer concentration at half-maximal elongation rate,m_half,49.8,4.98e-05,M,μM,wild-type alpha-synuclein,"pH 7.4 (PBS), 45 C, quiescent",,global fit of ThT time courses,"human (recombinant protein, in vitro)",24817693,10.1073/pnas.1315346111,Buell AK,2014,Proceedings of the National Academy of Sciences,The fit yields k+ = 392 M^-1·s^-1 and m 1/2 = 49.8 μM.,"Scite indexed full text (open access, bronze)","Elongation saturates with monomer concentration (Michaelis-Menten-like), so the model must not treat growth as first-order in monomer above roughly 50 uM."
K010,numeric,miR-7/SNCA/alpha-synuclein,monomer concentration at half-maximal elongation rate,m_half,46,4.6e-05,M,μM,wild-type alpha-synuclein,"pH 7.4 (PBS), 37 C, quiescent",,fit of elongation rate vs monomer concentration to r(m) = r_max m/(m_1/2 + m),"human (recombinant protein, in vitro)",24817693,10.1073/pnas.1315346111,Buell AK,2014,Proceedings of the National Academy of Sciences,"If the data obtained in the present study for alpha-synuclein are fitted to this model, which is described by the equation r(m) = r_max m/(m 1/2 + m), we obtain a value of 46 μM for m 1/2 , the concentration at half maximal rate, r max .","Scite indexed full text (open access, bronze)",Independent determination from the same study; agrees with K009 (49.8 uM).
